"location","latitude","longitude"
"Boulder Creek",37.125862,-122.12212
"MMCA81036",38.753113,-122.62212
"Geronimo",32.25,-110.9667
"Cle Elum_Mobile",47.197674,-120.95823
"MMCA81014",35.407906,-120.54662
"MMCA81024",41.047077,-123.67518
"MMCA81036",38.753178,-122.62221
"Corpus Christi Tulos",27.8333,-97.5558
"MMFRA1001",39.396446,-121.1439
"Erie",41.644066,-83.54625
"Costa Mesa - Mesa Ve",33.67454,-117.92559
"Cle Elum Mobile",47.19752,-120.958206
"Unit328",35.67152,-105.95567
"RG_SOUTH",38.75961,-94.57983
"Cle Elum_Mobile",47.197716,-120.95831
"Cle Elum_Mobile",47.197598,-120.95818
"Brewster_Mobile",48.088757,-119.78454
"MMFRA1001",39.43977,-121.07111
"MCADORY",33.3311,-87.0036
"Tramway",35.185,-106.5077
"GBUAPCD EBAM @ Crowl",37.566807,-118.742035
"Santa Rosa Fire Stat",38.438297,-122.67122
"PARR",34.7561,-92.2758
"GBUAPCD EBAM @ June",37.78431,-119.0736
"Unit153",48.97123,-115.19513
"Reynoldsburg",39.954475,-82.75887
"GBUAPCD EBAM @ Woodf",37.81729,-118.47532
"Lancaster",40.0467,-76.2833
"Unit0216",40.073494,-106.09789
"Bayou Plaquemine",30.2211,-91.3153
"GBUAPCD EBAM @ Lone",36.60902,-118.057816
"Newport_Mobile",48.186527,-117.04905
"MMCA81042",38.51076,-122.80595
"GBUAPCD EBAM @ Bridg",38.25768,-119.21842
"Edison",35.345608,-118.85182
"GBUAPCD EBAM @ Lee V",37.95698,-119.12098
"Leavenworth_Mobile",47.558537,-120.672714
"MMCA81044",41.11677,-123.717964
"Ojo De Agua C1021",31.86244,-106.54756
"MMCA81015",38.610912,-122.86886
"Coleville EBAM",38.545597,-119.47891
"GBUAPCD EBAM @ Lee V",37.96005,-119.11145
"Mobile-Yakima",46.558086,-120.49682
"South Allegheny High",40.3239,-79.8683
"Unit0269",38.979233,-105.353035
"LANSING - FILLEY ST",42.76138,-84.56287
"MMCA81048",39.675064,-121.73377
"GBUAPCD EBAM @ Alpin",38.766266,-119.80758
"MMCA81042",38.510666,-122.806076
"Mobile_Plain",47.7685,-120.66458
"Chester",40.78763,-74.6763
"Tranquillity",36.6324,-120.3822
"MMCA81015",38.610977,-122.86882
"GBUAPCD EBAM @ Lee V",37.956917,-119.12093
"MMNPS1026",40.94685,-123.63662
"Cle Elum_Mobile",47.197586,-120.95812
"Uxbridge",42.0997,-71.62
"Mobile_Cle Elum",47.200905,-120.952545
