"station","name","latitude","longitude"
"71130099999","NIPAWIN AIRPORT, CA",53.3333333,-104.0
"33678099999","SOROCA, MD",48.2,28.3
"52652099999","ZHANGYE, CH",39.0833333,100.2833333
"71395099999","HALIFAX INTERNATIONAL, CA",44.880833,-63.50861
"72231453915","NEW IBERIA AIRPORT ACADIANA REGIONAL, LA US",30.0375,-91.8839
"1469099999","HONEFOSS HOYBY, NO",60.1666666,10.25
"47642043313","YOKOTA AB, JA",35.75,139.35
"47675099999","OSHIMA, JA",34.75,139.3666666
"71783099999","VICTORIA UNIVERSITY CS, CA",48.45,-123.3
"42631099999","NALIYA, IN",23.25,68.85
"7072099999","REIMS PRUNAY, FR",49.2166666,4.15
"72241612971","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US",29.7089,-98.0458
"78324099999","PUNTA DEL ESTE ISLA DE LA JUVENTUD, CU",21.55,-82.5333333
"68592099999","KING SHAKA INTERNATIONAL AIRPORT, SF",-29.6166666,31.1333333
"83926099999","NAVEGANTES AERO, BR",-26.8666666,-48.6333333
"48109099999","COCO ISLAND, BM",14.1166666,93.3666666
"72768494051","JORDAN AIRPORT, MT US",47.325928,-106.948724
"71964099999","WHITEHORSE INTERNATIONAL, CA",60.709553,-135.067269
"15460099999","CALARASI, RO",44.2,27.35
"85315099999","CAMIRI, BL",-20.05,-63.5666667
"99406599999","TAWAS CITY GLOS WEATHER STATION, MI US",44.256,-83.443
"72035753993","CUSHING MUNICIPAL AIRPORT, OK US",35.95,-96.77306
"31825099999","AGZU, RS",47.6,138.4
"67315099999","VILANKULO, MZ",-22.018431,35.313297
"80402599999","CAPITAN MANUEL RIOS GUARICO AIRBASE, VE",9.372167,-66.922989
"6277099999","LAUWERSOOG AWS, NL",53.4166666,6.2
"44292099999","CHINGGIS KHAAN INTERNATIONAL, MG",47.843056,106.766639
"3895099999","JERSEY, JE",49.207947,-2.195508
"2081099999","KARESUANDO, SW",68.45,22.45
"85345099999","TCNL RAFAEL PABON, BL",-21.255231,-63.405611
"2818099999","INARI RAJAJOOSEPPI, FI",68.4833333,28.3
