"station","latitude","longitude"
"72250812957",26.15966,-97.33781
"28676099999",54.83,69.15
"1431099999",58.9333333,6.9166666
"99779399999",46.0833333,-85.4333333
"67875099999",-19.3166666,31.4333333
"71056099999",58.7666666,-111.1166666
"99818399999",27.4833333,-97.3166666
"61612099999",16.65,-14.9666667
"11903099999",48.65,19.15
"74754093915",31.33464,-92.55849
"72539014836",42.7761,-84.5997
"64880099999",6.7833333,11.8166667
"47778099999",33.45,135.75
"80431099999",9.906953,-67.379639
"40879099999",27.236169,60.720033
"60010099999",28.3166666,-16.5
"40827099999",31.5333333,60.0333333
"71766099999",49.3333333,-124.4
"91197721508",19.76,-155.55361
"47809099999",33.65,130.7
"48020099999",23.6333333,94.4166666
"17296099999",36.6166666,29.1166666
"6609999999",47.398644,8.648231
"74491014703",42.2,-72.53333
"13180099999",45.05,21.0333333
"83103099999",-21.7,-41.3
"74207864773",43.77917,-71.75361
"2548099999",58.1,14.4166666
"94710099999",-31.5333333,145.8
"72204992805",26.25,-80.10833
"71949499999",70.763056,-117.805833
"60445099999",36.178128,5.324494
"98428099999",14.495364,120.904075
"23527099999",64.2833333,60.8833333
"72785794129",46.74376,-117.11581
"15420099999",44.503194,26.102111
"43053099999",19.8,85.8166666
"6151099999",55.1666666,11.1333333
"43201099999",15.4166666,75.6333333
"97460099999",-1.6166667,124.55
"48581099999",6.5166666,101.2833333
"14236099999",45.8,15.9666666
"93945099999",-52.55,169.167
"72026563833",32.91472,-85.96278
"31873099999",45.8666666,133.7333333
"71457099999",50.55,-111.85
"42299099999",27.3333333,88.6166666
"8072099999",42,-4.6
"72075999999",46.2546319,-114.1246014
"70291026412",62.9617,-141.9878
"72308513750",36.93746,-76.28926
"16280099999",40.9166667,12.95
"71706099999",46.2833333,-63.1333333
"13014599999",45.899971,15.530194
"97600099999",-2.0833333,126
"94956099999",-42.15,145.2833333
"94376099999",-24.4833333,150.5666666
"71061099999",54.1,-114.45
"24125099999",68.5,112.4333333
"2216099999",63.3,13.8833333
"72479723176",38.42251,-113.01089
"99734699999",26.65,-81.87
"86840099999",-21.667,-49.733
"99727299999",40.639,-74.146
"74331253925",34.04799,-94.40157
"99999900237",NULL,NULL
"47971042402",27.092,142.191
"47154099999",36.1166666,128.3166666
"72353513909",36.33333,-97.91667
"40587099999",29.2666666,47.7166666
"72515004725",42.20678,-75.97993
"14442099999",44.0333333,16.2
"72640014839",42.95489,-87.90457
"71075099999",58.1833333,-103.7
"83899099999",-27.670489,-48.547181
"41926099999",23.65,88.8166666
"95317099999",-21.1833333,119.75
"43347099999",10.7666666,79.85
"29274099999",58.0833333,93
"40712699999",26.810278,53.356111
"A0000363844",35.2225,-83.41917
"28493099999",56.9,74.3833333
"94135099999",-11.05,132.9833333
"1158099999",67.1666666,15.4833333
"72434753904",38.92861,-90.42806
"72032104893",45.65361,-84.51917
"15409099999",44.7666666,28.8833333
"2460099999",59.651944,17.918611
"68300799999",-26.566372,27.960756
"35284099999",50.633,70.55
"48679099999",1.641308,103.669619
"89057099999",-62.5,-59.6833333
"68524099999",-30.35,21.8166666
"72295603167",33.92353,-118.33291
"72324900463",35.55438,-87.17913
"71795099999",49.9833333,-110.2666666
"35953099999",45.5,64.0833333
"81742099999",-3.85,-50.6333333
"84010099999",-0.9,-89.6166666
"72450003928",37.6475,-97.43
"7641599999",43.323522,3.353903
"7245099999",47.678492,1.208844
"10752099999",49.473817,10.387831
"87571099999",-34.609939,-58.612592
"36872099999",43.352072,77.040508
"41520099999",35.3666666,74.9
"7621099999",43.178675,-0.006439
"72515754757",42.10775,-77.98424
"43352099999",9.55,76.4166666
"36871099999",43.1833333,76.75
"78016013601",32.36667,-64.68333
"57972099999",25.7333333,112.9666666
"58921099999",25.9666666,117.35
"8570099999",39.8333333,-7.4833333
"81957099999",-8.6666666,-35.5666666
"72255293929",33.65139,-97.19694
"31959099999",44.3666666,135.85
"2852099999",63.85,23.1166666
"35106099999",51.4,51.95
"41171099999",25.3833333,51.4833333
"40730099999",35.416111,51.152222
"72396593209",35.66936,-120.62918
"36103099999",52.4666666,96.1
"20471099999",75.95,82.95
"11078099999",48.0333333,15.5833333
"22140099999",68.15,39.7666666
"72655304951",44.96889,-95.71
"72222099999",30.4833333,-87.1833333
"A0002804116",40.61944,-111.99278
"40611099999",36.3833333,44.2
"76393099999",25.7333333,-100.3
"34785099999",46.9166666,47.9333333
"68151099999",-23.3666666,25.85
"15494099999",43.7833333,23.95
"23405099999",65.4333333,52.2666666
"17244099999",37.979,32.561861
"71793099999",51.7833333,-111.2166666
"71954026394",54.683,-101.683
"22292099999",67.6833333,48.6833333
"58847099999",26.0833333,119.2833333
"72266013962",32.41063,-99.68208
"3409099999",52.9,-3.5833333
"72479694128",41.78722,-111.85333
"86657099999",-12.6666666,-39.15
"84773099999",-17.695036,-71.343964
"67225099999",-14.917,33.617
"71948027202",70.16667,-124.68333
"81829099999",-5.35,-41.5166666
"38718099999",39.1,68.3833333
"42671099999",23.85,78.75
"23711099999",62.7,56.2
"99729399999",41.55,-82.9
"8537099999",38.883278,-9.030097
"72227553843",31.30614,-86.39018
"67531099999",-13.5333333,23.1166667
"72466093037",38.81,-104.6884
"72015103049",30.38333,-103.68333
"29939099999",52.6666666,84.9166666
"42099099999",30.8666666,75.9333333
